1,413046,Chandler,59.65,396
2,413047,Elkhart,55.82,373
3,413048,Phoenix,23.27,348
4,413049,Layton,65.79,283
5,413050,Amarillo,35.86,440
6,413051,Phoenix,67.78,11
7,413052,Boise City,48.92,29
8,413053,Oxnard,26.86,316
9,413054,Raleigh,9.59,252
10,413055,Independence,23.88,278
11,413056,Omaha,16.68,269
12,413057,Barnstable,15.73,336
13,413058,Waterloo,46.38,433
14,413059,Santa Ana,67.11,315
15,413060,Cathedral City,22.72,46
16,413061,Harlingen,45.67,211
17,413062,Jackson,62.89,70
18,413063,Springdale,17.13,478
19,413064,Tempe,6.33,212
20,413065,Bloomington,49.83,71
21,413066,Joliet,98.21,42
22,413067,Santa Clara,19.05,225
23,413068,San Francisco,68.58,108
24,413069,Jefferson,15.8,341
25,413070,Moreno Valley,98.5,37
26,413071,Appleton,35.77,335
27,413072,Johnson City,14.96,324
28,413073,Salem,59.59,428
29,413074,Provo,94.47,193
30,413075,Nashville,22.72,350
31,413076,Saginaw,13.4,147
32,413077,Muskegon,47.45,158
33,413078,Norwalk,51.46,69
34,413079,Shreveport,74.8,117
35,413080,Mesquite,12.67,62
36,413081,Newark,14.66,79
37,413082,Syracuse,15.38,295
38,413083,Salinas,62.38,248
39,413084,Bel Air,22.64,211
40,413085,Savannah,63.49,297
41,413086,Santa Rosa,84.67,343
42,413087,New London,53,61
43,413088,Dallas,55.7,237
44,413089,Minneapolis,25,121
45,413090,Long Beach,23.26,64
46,413091,Cleveland,91.89,54
47,413092,Boise City,62.63,59
48,413093,Moreno Valley,58.46,47
49,413094,McAllen,9.18,343
50,413095,Tempe,15.69,49
51,413096,San Antonio,46.02,448
52,413097,Yakima,41.48,268
53,413098,Apple Valley,68.98,459
54,413099,Visalia,38.54,202
55,413100,Milwaukee,32.59,478
56,413101,Kailua,1.59,215
57,413102,Fairfield,48.26,268
58,413103,Spartanburg,91.44,376
59,413104,Tallahassee,3.2,472
60,413105,Long Beach,57.5,133
61,413106,Santa Clarita,30.64,320
62,413107,St. Louis,91.36,174
63,413108,Trenton,82.32,161
64,413109,Waterloo,20.17,126
65,413110,Davenport,34.17,479
66,413111,Daytona Beach,53.39,393
67,413112,Downey,5.15,455
68,413113,Clarksville,90.89,62
69,413114,New Orleans,43.76,121
70,413115,Bremerton,36.7,5
71,413116,Cary,80.28,91
72,413117,Naperville,76.9,346
73,413118,Olathe,6.06,207
74,413119,North Las Vegas,76.52,60
75,413120,Muskegon,29.27,219
76,413121,Yakima,58.26,250
77,413122,Brighton,43.64,416
78,413123,Downey,30.15,409
79,413124,Brownsville,95.86,214
80,413125,Scranton,12.74,195
81,413126,Provo,73.21,90
82,413127,Norman,51.81,278
83,413128,Bloomington,24.78,185
84,413129,Lacey,77.48,435
85,413130,Chicago,14.24,360
86,413131,Milwaukee,48.88,454
87,413132,Laredo,11.43,189
88,413133,Redding,83.67,354
89,413134,Tucson,6.94,161
90,413135,Bradenton,61.91,301
91,413136,Norwich,94.95,494
92,413137,Modesto,18.56,54
93,413138,Hickory,89.73,361
94,413139,Hagerstown,79,284
95,413140,Albuquerque,48.14,205
96,413141,Arvada,1.84,446
97,413142,Huntsville,16.4,369
98,413143,Fairfield,70.51,193
99,413144,Moreno Valley,71.72,5
100,413145,Garden Grove,22.71,322
101,413146,Arlington,92.56,325
102,413147,Bradenton,62.94,101
103,413148,Bloomington,39.75,363
104,413149,Redding,21.33,386
105,413150,Seattle,25.72,348
106,413151,Port Arthur,92.57,73
107,413152,Washington,27.14,110
108,413153,Berkeley,24.93,314
109,413154,Clarksville,94.74,385
110,413155,Baltimore,93.22,187
111,413156,Houma,79.17,111
112,413157,Provo,4.29,286
113,413158,Lakewood,63.18,100
114,413159,Bakersfield,21.44,333
115,413160,Modesto,15.58,382
116,413161,Temecula,30.67,80
117,413162,Eugene,38.53,436
118,413163,Manchester,19.38,55
119,413164,Naperville,48.05,83
120,413165,Olympia,88.59,317
121,413166,Chula Vista,68.55,352
122,413167,Baton Rouge,74.71,464
123,413168,Irvine,14.64,81
124,413169,San Bernardino,99.93,73
125,413170,St. Paul,45.53,456
126,413171,Fort Worth,28.28,122
127,413172,Kenosha,79.63,103
128,413173,Saginaw,80.15,497
129,413174,New York City,5.74,61
130,413175,Durham,66.51,95
131,413176,Escondido,96.96,290
132,413177,Anaheim,72.56,74
133,413178,Appleton,11.48,7
134,413179,Eugene,13.31,213
135,413180,Tulsa,54.23,160
136,413181,Buffalo,29.85,436
137,413182,Fort Wayne,91.23,145
138,413183,Salem,60.27,233
139,413184,High Point,97.6,286
140,413185,Richland,6.87,495
141,413186,Vero Beach,9.88,153
142,413187,Sunnyvale,64.78,411
143,413188,Escondido,91.1,330
144,413189,Springfield,64.64,313
145,413190,Duluth,21.07,374
146,413191,Vero Beach,48.29,186
147,413192,Durham,91.01,234
148,413193,Portland,8.35,199
149,413194,Danbury,79.28,65
150,413195,Bakersfield,82.48,289
151,413196,Beaumont,30.62,333
152,413197,Tampa,71.01,229
153,413198,New Haven,43.08,133
154,413199,Fontana,70.59,55
155,413200,Orlando,36.41,184
156,413201,Roseville,54.01,29
157,413202,Pasadena,87.79,468
158,413203,Las Vegas,67.77,401
159,413204,Kennewick,51.05,162
160,413205,Dayton,12.29,178
161,413206,Scottsdale,20.99,257
162,413207,Springfield,15.28,123
163,413208,Orem,12.6,308
164,413209,Sioux Falls,90.77,440
165,413210,Jackson,18.8,436
166,413211,Grand Rapids,75.28,42
167,413212,Waterbury,21.39,289
168,413213,Rancho Cucamonga,4.33,467
169,413214,Burbank,84.84,175
170,413215,Port Arthur,24.5,329
171,413216,Tulsa,48.04,174
172,413217,Washington,8.86,281
173,413218,Tacoma,93.61,32
174,413219,Miramar,93.01,206
175,413220,Chandler,13.44,145
176,413221,Hampton,80.08,287
177,413222,New York,76.27,184
178,413223,Port Saint Lucie,86.78,194
179,413224,Huntington Beach,37.62,409
180,413225,Davidson County,46.67,20
181,413226,Oakland,41.41,472
182,413227,Port Orange,88.93,385
183,413228,Yakima,7.79,207
184,413229,High Point,12.96,372
185,413230,Pembroke Pines,52.86,304
186,413231,Louisville,47.04,92
187,413232,Austin,27.13,464
188,413233,Lewisville,23.85,233
189,413234,Myrtle Beach,24.8,331
190,413235,Lowell,79.48,443
191,413236,Melbourne,17.49,209
192,413237,Louisville,96.96,55
193,413238,Macon,50.68,237
194,413239,Wilmington,37.66,483
195,413240,Kailua,31.32,330
196,413241,Oakland,19.85,227
197,413242,Myrtle Beach,42.44,191
198,413243,Colorado Springs,68.03,368
199,413244,Brighton,89.81,241
200,413245,Yonkers,74.07,234
201,413246,New York,76.61,368
202,413247,Bonita Springs,63.21,377
203,413248,Winter Haven,61.13,165
204,413249,Gainesville,20.79,379
205,413250,Sioux Falls,56.61,323
